호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,18856,15499,25262,30958,35305,31917,34976,31913,24516,32922,19140,23191
1호선,동묘앞,7368,12508,10618,30335,43157,19443,34822,12682,14573,8983,7728,6373
1호선,서울역,45700,111328,88592,233009,172027,108603,258194,113308,141990,84079,101788,61302
1호선,시청,8621,72587,11681,209095,98082,33854,177703,34631,79286,19076,64453,10527
1호선,신설동,22440,28704,32631,80223,47328,30633,73558,34265,30910,26126,19718,17689
1호선,제기동,24975,21813,37881,49490,57853,34803,51950,32053,27382,23387,17698,14393
1호선,종각,7830,102322,13019,283222,154174,61624,257518,77144,128618,47309,109008,19123
1호선,종로3가,6922,30399,11808,83250,110305,57101,133180,61651,92968,36720,69466,16288
1호선,종로5가,6257,42542,10308,125179,94905,44247,129691,42239,72476,25947,47890,11958
1호선,청량리(서울시립대입구),48733,21794,63644,45635,66614,59081,57383,67775,34223,50754,27252,30221
2호선,강남,49689,168785,77852,359844,273086,195025,396172,267945,257779,205506,213890,99112
2호선,강변(동서울터미널),99323,40693,149363,64459,86095,114530,95090,157940,78932,123763,70662,86276
2호선,건대입구,64861,29332,113433,77586,93182,129490,108612,196369,85011,153929,84736,90412
2호선,교대(법원.검찰청),32199,69694,47419,171464,108158,103390,170477,121834,96831,77893,88491,40648
2호선,구로디지털단지,161283,76923,212694,274049,133612,131295,254236,191683,135711,164753,83059,106568
2호선,구의(광진구청),75311,16725,129492,41837,39817,59275,49205,94979,27224,77645,21222,51827
2호선,낙성대,92868,22379,144420,50301,56066,63935,63133,103880,38411,99963,28912,65693
2호선,당산,55523,32522,73420,96760,51998,53364,76930,84206,39748,65393,27646,43777
2호선,대림(구로구청),80966,25132,113705,66889,55276,84780,70179,93018,39291,72491,29036,51090
2호선,도림천,2979,5120,3797,6452,3353,2153,3808,2797,1926,2531,1016,1705
2호선,동대문역사문화공원,9481,28610,16512,67226,60423,42070,71563,50103,48369,55572,37176,38389
2호선,뚝섬,25301,31831,36244,132834,55820,36034,118274,51711,59220,33236,34233,18569
2호선,문래,48291,36034,53009,124675,55533,36911,105501,55937,43150,44778,27771,26253
2호선,방배,29471,32092,42135,88063,60528,40830,85259,49140,40204,39399,30068,24927
2호선,봉천,95318,15611,135703,30118,38217,59815,40156,90486,25415,83499,19307,52534
2호선,사당,84287,59549,118376,87269,89429,126887,112678,189458,84197,147981,79742,90214
2호선,삼성(무역센터),21330,133055,28682,365239,215675,81409,333254,89250,210703,56530,149285,28230
2호선,상왕십리,44159,12205,71058,39977,26816,33746,34078,53144,21716,40107,14157,26273
2호선,서울대입구(관악구청),146064,35478,209363,82767,104272,117984,115108,183414,72944,175683,59275,107474
2호선,서초,17246,54842,28293,133496,77044,59492,123874,57689,78367,36611,68534,18076
2호선,선릉,25875,109035,41278,317714,180725,63600,313888,70872,158561,48786,99815,29709
2호선,성수,28570,67276,36784,272062,90300,46285,206198,56737,90712,40939,53290,23576
2호선,시청,6349,67031,10686,236896,95929,28532,201077,29798,74541,17152,52981,9706
2호선,신답,7441,1005,11442,2017,2328,4345,2554,9511,1456,7565,852,4016
2호선,신당,31066,18712,51298,43773,35288,36750,42456,49279,26899,38723,19642,24739
2호선,신대방,106186,21136,147556,40768,43343,72967,52160,103061,31150,97136,21961,64760
2호선,신도림,158485,47192,168609,139217,129444,136436,169692,205927,104242,169585,86219,98602
2호선,신림,246530,40093,358208,72374,108368,164995,115034,271595,77845,270659,62539,169696
2호선,신설동,3582,5837,6685,15090,13921,6808,17454,6368,6989,5030,4014,3449
2호선,신정네거리,48933,5538,46411,13734,18291,29370,15443,46319,8759,38340,6526,22710
2호선,신촌,41917,45399,63769,104269,129935,110242,133930,153095,99702,114084,97678,62952
2호선,아현,29902,14229,41283,25463,25680,25197,25204,34000,14821,28414,10826,19279
2호선,양천구청,37116,6181,36529,12148,11164,20261,10661,32254,4792,29217,3301,17093
2호선,역삼,18488,127785,32388,365476,184902,60353,303219,72105,152574,53368,91600,29338
2호선,영등포구청,47161,34360,56110,129812,55633,40529,110181,61954,42250,46633,31372,27827
2호선,왕십리(성동구청),32034,14398,58778,33426,45889,40240,51702,66569,33833,47544,31552,29266
2호선,용답,8995,1850,14355,4419,5496,6991,4727,11012,2971,8450,1989,5471
2호선,용두(동대문구청),5351,2389,8432,6582,6063,5169,6720,8283,3098,6214,2235,3584
2호선,을지로3가,6780,65215,12988,164561,80988,36635,146573,44959,70165,28921,51239,16302
2호선,을지로4가,3971,30701,7534,82723,53891,19384,79209,17338,38259,11087,20924,7015
2호선,을지로입구,10274,125164,18612,354746,164731,76184,323559,85325,162553,52377,148188,31752
2호선,이대,19534,21968,29700,50911,73823,41953,62115,49770,41609,36924,34530,21567
2호선,잠실(송파구청),130747,103159,196249,224415,220883,193098,296918,264756,218778,193511,205270,120261
2호선,잠실나루,45318,24266,58145,45042,39784,31844,38685,46719,21289,38790,16532,24331
2호선,잠실새내,67113,19348,95186,33742,44943,67661,50202,99840,37629,80194,33045,48049
2호선,종합운동장,21187,37411,31981,50920,51115,68237,35287,63576,25804,33799,31676,18531
2호선,충정로(경기대입구),18633,19379,26917,73599,28598,20115,59998,26283,20535,20751,13654,13373
2호선,한양대,6737,16774,10469,71026,54547,17756,44293,23915,23515,13193,21484,7902
2호선,합정,48457,39024,63072,108610,84970,85663,126828,124763,85861,98919,68430,53664
2호선,홍대입구,76205,43419,101048,124361,196206,226147,233452,292828,189027,244036,182212,144964
3호선,가락시장,24958,10955,28476,33588,21346,23277,33720,30258,14876,25127,12198,15733
3호선,경복궁(정부서울청사),17227,47101,25344,142350,125270,45916,153247,52029,69919,37308,54177,19568
3호선,경찰병원,25716,7915,31105,33799,16778,15925,24329,23045,9090,21366,6695,12933
3호선,고속터미널,30522,62218,56377,94968,175935,149357,173189,162901,156750,110689,181101,67650
3호선,교대(법원.검찰청),9344,25565,15007,54995,47261,26835,78440,30430,45269,16244,46858,7944
3호선,구파발,101382,26295,100216,36065,46966,48004,40781,77114,26400,72194,20340,42804
3호선,금호,31189,4904,43702,9499,13757,23157,13928,33673,9075,26438,6988,18946
3호선,남부터미널(예술의전당),32116,60738,53381,177021,100133,73865,157993,88321,81004,64176,66037,35994
3호선,녹번,66093,8346,76377,19104,23661,31600,23035,51941,10913,48806,7998,31070
3호선,대청,32003,17529,38219,27561,23863,20776,29901,27447,13372,26998,10259,17964
3호선,대치,31425,20823,33475,30694,31583,37186,31392,35113,23336,29964,16042,16801
3호선,도곡,11123,13055,15265,25074,18490,10688,21817,12434,11706,11916,7757,7330
3호선,독립문,19952,18843,24869,23292,21673,18674,21723,22266,10533,18383,7678,11994
3호선,동대입구,6226,22361,9823,81095,49593,23228,53345,26857,30195,13760,35590,7323
3호선,매봉,17452,20618,22689,74439,33995,18587,65039,23189,26086,19010,17106,11156
3호선,무악재,17283,3319,19690,6877,6809,11342,7784,16043,3494,15026,2537,9908
3호선,불광,62523,12470,74301,38780,38626,50635,40937,72239,23430,61448,17912,36653
3호선,수서,42421,34047,52587,58109,45597,42684,59115,56411,28565,46300,25779,33232
3호선,신사,13881,43730,22949,122498,96558,68683,154539,91090,112575,60888,77850,29062
3호선,안국,7652,105664,11364,129602,133838,38639,149556,35845,66986,19196,50187,9913
3호선,압구정,19385,55152,33394,163158,97241,66933,155554,77554,111764,48345,86630,23747
3호선,약수,30787,17456,46728,38813,29991,33976,39176,48571,23432,36148,18134,23295
3호선,양재(서초구청),39809,111081,54968,275328,132690,75300,227746,94410,114047,70229,83269,41573
3호선,연신내,159009,30284,190113,41996,70439,100784,63507,156547,44608,148630,34626,91275
3호선,오금,30561,6003,36976,16522,12374,14694,14992,23558,6716,19860,4460,13385
3호선,옥수,28201,9232,40532,17896,20271,27632,21746,39302,13988,31386,10564,22537
3호선,을지로3가,2631,32882,5377,85271,38923,20162,73727,24178,35952,15560,24117,7808
3호선,일원,26485,29220,26297,28037,32801,17903,19359,22896,11674,21139,9264,13330
3호선,잠원,20531,8811,29536,11925,13854,16344,15072,21690,8427,17783,5512,11715
3호선,종로3가,2466,15066,3781,53754,34893,23187,59851,24942,42790,15224,22449,7359
3호선,지축,5605,2512,6814,2821,4788,3698,2379,5185,940,4359,575,3213
3호선,충무로,1,0,0,0,3,0,10,0,10,0,5,0
3호선,학여울,4585,3686,5375,8084,7769,4450,8426,5133,3902,4282,2773,2894
3호선,홍제,70083,14122,84555,32348,39300,48342,36416,69416,20157,59942,14921,38680
4호선,길음,98475,17663,105454,43128,48593,54857,47393,79974,28471,73854,20322,45594
4호선,남태령,3482,4506,5265,6134,4978,2096,4965,2442,2111,2325,1113,1541
4호선,노원,64476,17854,70880,35266,41140,63055,43091,96456,32006,85806,33178,50963
4호선,당고개,59262,11519,58910,16583,23301,31241,21246,42570,14296,41598,9052,29356
4호선,동대문,6966,43921,10697,93383,106417,31382,99299,27404,51820,32572,36712,23125
4호선,동대문역사문화공원,9970,31742,14889,88622,71800,34987,108376,40300,64967,53777,50873,30809
4호선,동작(현충원),5663,4076,7883,8180,7428,7195,8699,9512,4586,7397,5378,5111
4호선,명동,7480,56951,17054,147707,115758,99537,163830,94283,112702,70603,101917,45054
4호선,미아(서울사이버대학),60004,21425,67590,41651,33780,38969,35257,53867,21683,49154,14604,30492
4호선,미아사거리,109998,23856,124143,39780,53842,78620,55709,116041,41122,102386,38810,61759
4호선,사당,79685,32201,104317,46798,55742,71115,61611,107584,45548,81961,39773,47011
4호선,삼각지,6301,11170,9676,29663,14394,11466,26810,14978,11194,10788,8410,7078
4호선,상계,106104,19295,97637,23077,29177,48953,29438,70534,18631,70746,13360,45194
4호선,서울역,13935,40646,20619,110162,43938,51919,84590,51539,32662,41307,21932,32045
4호선,성신여대입구(돈암),56401,20500,69876,51850,57684,55851,63163,78883,42290,70288,36184,43360
