from,to,line,7_in,7_out,8_in,8_out
소요산,동두천,1,6359,9649,7763,8523
동두천,보산,1,5641,3354,5389,3491
보산,동두천중앙,1,11954,5771,12408,11696
동두천중앙,지행,1,26948,6746,30945,15852
지행,덕정,1,25202,10637,27967,24769
덕정,덕계,1,13666,2822,13418,4366
덕계,양주,1,39303,13891,36394,14975
양주,녹양,1,22541,4898,21085,10419
녹양,가능,1,27949,5099,27954,19415
가능,의정부,1,51599,16760,50710,39559
의정부,회룡,1,66617,9093,56965,13966
회룡,망월사,1,31536,6191,30269,29464
망월사,도봉산,1,88069,12666,70511,29010
도봉산,도봉,1,23238,4431,24141,12299
도봉,방학,1,37353,8957,36983,22289
방학,창동,1,117138,23494,102768,49936
창동,녹천,1,25047,4805,23541,5878
녹천,월계,1,22088,8954,23881,14537
월계,광운대,1,39803,7571,36353,26458
광운대,석계,1,87450,17214,101957,33185
석계,신이문,1,45846,4872,49578,10332
신이문,외대앞,1,24229,6836,31135,30172
외대앞,회기,1,65305,33969,83479,78061
회기,청량리(서울시립대입구),1,81179,40220,100983,74031
청량리(서울시립대입구),제기동,1,24975,21813,37881,49490
제기동,신설동,1,27544,40572,41819,110705
신설동,동묘앞,1,18281,23634,25505,61866
동묘앞,동대문,1,25822,59420,35959,124341
동대문,종로5가,1,6257,42542,10308,125179
종로5가,종로3가,1,13691,61437,22056,185606
종로3가,종각,1,7830,102322,13019,283222
종각,시청,1,14970,139618,22367,445991
시청,서울역,1,87948,200290,157041,432584
서울역,남영,1,14160,25408,20812,73283
남영,용산,1,25499,89914,37689,174800
용산,노량진,1,87701,82657,135729,123623
노량진,대방,1,37502,37617,50801,60115
대방,신길,1,38272,24318,56514,51210
신길,영등포,1,46894,71913,68647,146469
영등포,신도림,1,170710,54709,183951,156801
신도림,구로,1,44713,34363,47258,87598
구로,구일,1,32929,9006,29924,21609
구일,개봉,1,108824,18626,107225,29350
개봉,오류동,1,58619,7656,58541,14083
오류동,온수(성공회대입구),1,78884,28165,90989,44455
온수(성공회대입구),역곡,1,145777,16612,145499,42613
역곡,소사,1,42422,10904,40076,23987
소사,부천,1,126230,24621,131609,64833
부천,중동,1,50328,6835,41724,17044
중동,송내,1,138962,43425,118297,106548
송내,부개,1,47202,7192,42497,15164
부개,부평,1,107031,25123,103536,39974
부평,백운,1,37215,6360,36525,16846
백운,동암,1,70527,17100,71137,22310
동암,간석,1,29789,4577,28717,10192
간석,주안,1,77500,25083,71931,43691
주안,도화,1,17676,4337,17478,9192
도화,제물포,1,43381,16193,40451,40646
제물포,도원,1,8593,8879,8340,31808
도원,동인천,1,51793,28022,42006,42100
동인천,인천,1,8869,10302,8825,16564
구로,가산디지털단지,1,39589,150765,42493,584401
가산디지털단지,독산,1,48119,39806,46608,105346
독산,금천구청,1,56599,16695,52821,33618
금천구청,석수,1,49360,16436,52313,21525
석수,관악,1,40028,7171,38728,12223
관악,안양,1,97382,23048,91121,61992
안양,명학,1,30870,25904,28507,69037
명학,금정,1,96848,43991,99912,89127
금정,군포,1,22751,30443,21247,53579
군포,당정,1,31742,10656,28098,21564
당정,의왕,1,33853,28973,36373,33021
의왕,성균관대,1,77487,11844,66012,34963
성균관대,화서,1,47291,7902,38087,15247
화서,수원,1,118414,77148,130899,123045
수원,세류,1,18107,5495,13889,6301
세류,병점,1,57989,22781,53159,36289
병점,세마,1,11563,4509,11315,6735
세마,오산대,1,12399,4822,9838,9801
오산대,오산,1,26992,19315,28718,23463
오산,진위,1,4179,8046,3552,8965
진위,송탄,1,14683,6371,14001,10106
