from,to,line,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,6606,6747,6692,7324,3359,5898,2112,4606
동두천,보산,1,5908,4634,3876,5485,2111,5712,1627,4058
보산,동두천중앙,1,8222,9028,9277,9275,3595,8653,2516,6347
동두천중앙,지행,1,14182,22556,16370,26297,8662,24894,7325,18382
지행,덕정,1,17895,16018,16833,18508,8350,19898,5390,14153
덕정,덕계,1,4842,5613,4238,8158,1991,7580,1286,5958
덕계,양주,1,17184,21911,19453,27747,10154,27808,5270,20604
양주,녹양,1,9472,11987,10145,17393,5236,17234,3735,11852
녹양,가능,1,14009,17733,11999,23756,7803,22670,5654,14549
가능,의정부,1,54371,56128,57177,65899,38452,63958,34882,40002
의정부,회룡,1,17159,39954,15851,46506,9861,50799,7705,31939
회룡,망월사,1,22671,22699,16536,28328,9280,28775,7720,18440
망월사,도봉산,1,42414,36617,32439,48344,17519,54854,10518,34737
도봉산,도봉,1,11357,15708,12418,19675,6033,19005,4089,10941
도봉,방학,1,18315,26725,20631,34694,11332,31846,8233,19117
방학,창동,1,53884,77599,58222,111194,32781,105043,25360,67549
창동,녹천,1,7408,11038,6368,16170,4126,15700,2589,9960
녹천,월계,1,18305,16376,13678,20576,7855,19114,6501,11791
월계,광운대,1,21577,21900,17935,28850,10576,26878,9247,17542
광운대,석계,1,39230,72437,36904,98921,26709,94040,20225,58135
석계,신이문,1,11314,24849,11808,34923,8052,31396,5067,19749
신이문,외대앞,1,29701,23772,24081,29665,15734,26511,13041,17123
외대앞,회기,1,80168,65856,72382,89550,44427,77319,37966,48033
회기,청량리(서울시립대입구),1,109522,102113,95179,123920,64677,95842,64656,54536
청량리(서울시립대입구),제기동,1,57853,34803,51950,32053,27382,23387,17698,14393
제기동,신설동,1,69110,40053,102295,43168,43462,32733,27005,22211
신설동,동묘앞,1,73584,37760,67522,31531,32865,23845,19514,16754
동묘앞,동대문,1,141722,63299,134275,59317,76336,65494,55852,46316
동대문,종로5가,1,94905,44247,129691,42239,72476,25947,47890,11958
종로5가,종로3가,1,201165,112660,266933,124358,183998,74619,130293,35386
종로3가,종각,1,154174,61624,257518,77144,128618,47309,109008,19123
종각,시청,1,194011,62386,378780,64429,153827,36228,117434,20233
시청,서울역,1,285787,197502,432083,205334,235908,157095,171212,116898
서울역,남영,1,30757,19643,56995,26593,23825,19298,17528,12882
남영,용산,1,131048,84332,175955,102343,110708,68905,112654,46650
용산,노량진,1,85504,104547,111974,158024,66691,114225,68114,69551
노량진,대방,1,36966,30942,53353,45786,22186,34028,17378,23607
대방,신길,1,28325,29072,50338,41631,20306,30468,13800,21414
신길,영등포,1,142313,115255,191941,153420,122593,106641,123497,57045
영등포,신도림,1,139779,147258,185888,222474,111533,181164,92019,105365
신도림,구로,1,50259,46032,78961,54624,33843,40415,22715,26425
구로,구일,1,19750,23954,17866,41016,12886,29390,8770,15330
구일,개봉,1,39329,70804,39372,103955,24103,87784,17753,55022
개봉,오류동,1,21940,30453,20852,47807,11769,45108,9783,26830
오류동,온수(성공회대입구),1,40196,41103,34191,70652,17414,64075,14083,38552
온수(성공회대입구),역곡,1,56803,81460,52627,128522,33294,118336,26725,73136
역곡,소사,1,23136,28844,21535,34136,13276,34228,9580,21374
소사,부천,1,78910,107152,78765,150701,56341,140462,46103,80074
부천,중동,1,15471,25101,16726,34982,9346,35306,6934,20708
중동,송내,1,62435,72928,97069,109686,44850,110157,33828,66639
송내,부개,1,14984,24525,15122,34446,8727,33365,6314,20001
부개,부평,1,76196,111082,75603,156966,58582,139987,54051,79928
부평,백운,1,14524,23630,13892,31039,7737,29549,6053,19069
백운,동암,1,31234,52227,30762,69101,19584,62621,15166,43375
동암,간석,1,10877,17717,11390,23303,6940,22865,5528,14908
간석,주안,1,51923,52339,53502,70503,33794,74352,29563,46111
주안,도화,1,9077,10049,8334,11722,4082,10959,2810,7420
도화,제물포,1,30555,25815,29844,32333,14322,31588,10291,21768
제물포,도원,1,12766,8370,12894,8345,5221,6600,3831,4718
도원,동인천,1,46952,35373,57288,42781,28244,42814,19105,27890
동인천,인천,1,26210,10206,22520,10471,11960,6782,8103,4924
구로,가산디지털단지,1,216756,65510,468145,75844,204855,57172,116396,32476
가산디지털단지,독산,1,50350,31504,81727,45338,34992,42821,19561,24983
독산,금천구청,1,21473,33166,30271,48588,14118,41965,10331,24079
금천구청,석수,1,25009,26540,25643,41079,14733,35022,10109,22098
석수,관악,1,15810,19840,14132,32862,8467,28668,5920,17417
관악,안양,1,67969,67509,54373,104011,38434,88325,35606,48553
안양,명학,1,32420,17389,44944,24482,17787,22615,15740,13296
명학,금정,1,58922,67553,78886,96889,37981,83914,30380,52850
금정,군포,1,23034,13292,40403,17436,14321,15635,13204,9994
군포,당정,1,17351,16204,19256,22952,8979,22580,7127,15517
당정,의왕,1,29824,20808,29441,29254,14399,25987,10181,18102
의왕,성균관대,1,31415,41024,31342,60094,19449,59686,15997,38563
성균관대,화서,1,15498,23610,13243,34405,7917,35156,6082,20744
화서,수원,1,146552,144183,145746,164101,124761,158713,118223,87167
수원,세류,1,8739,10060,8136,13187,5127,13092,4213,10085
세류,병점,1,42934,43802,45206,51394,25924,54128,18189,39268
병점,세마,1,6753,8248,7202,9953,3443,8433,2537,7931
세마,오산대,1,10695,8632,9432,10241,4230,8735,3660,6813
오산대,오산,1,27684,27876,30886,28091,16173,32517,14611,19705
오산,진위,1,7117,3142,10033,3184,3512,2850,2122,2478
진위,송탄,1,11282,13904,11300,16624,7326,13496,5127,13333
송탄,서정리,1,22431,13289,17210,14218,10816,14288,7418,10286
서정리,지제,1,11276,4887,9872,7641,6382,5926,3816,4740
지제,평택,1,37486,43953,35641,44656,24774,33878,25289,24612
평택,성환,1,19471,8528,16832,9361,7887,8812,6410,7242
성환,직산,1,2770,1930,3382,2611,1391,2066,1105,1394
직산,두정,1,17208,14146,18169,17664,11632,13627,8561,12845
두정,천안,1,23177,17383,20486,19712,13544,12821,10797,11180
천안,봉명,1,3574,1928,2385,3357,1346,2183,1292,1577
봉명,쌍용(나사렛대),1,6380,6553,5643,7635,3415,6533,3520,4829
쌍용(나사렛대),아산,1,9318,9543,11539,7520,7953,7270,6172,5337
아산,배방,1,2542,3696,2756,3250,1547,2622,1184,2586
배방,온양온천,1,10036,10339,10628,12975,5763,8637,4017,7814
온양온천,신창(순천향대),1,7987,2918,8259,4243,3526,3776,2843,3831
금천구청,광명,1,4543,5000,13110,13509,4744,13378,4911,3857
병점,서동탄,1,2983,4389,3216,6096,1796,7302,1116,4110
시청,을지로입구,2,164731,76184,323559,85325,162553,52377,148188,31752
을지로입구,을지로3가,2,119911,56797,220300,69137,106117,44481,75356,24110
을지로3가,을지로4가,2,75955,26303,117646,23915,57831,14914,31427,9067
을지로4가,동대문역사문화공원,2,142582,80547,202205,94219,122924,111993,92796,71107
동대문역사문화공원,신당,2,57896,50674,71624,66812,44886,64090,34560,38999
신당,상왕십리,2,26816,33746,34078,53144,21716,40107,14157,26273
상왕십리,왕십리(성동구청),2,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),한양대,2,54547,17756,44293,23915,23515,13193,21484,7902
한양대,뚝섬,2,55820,36034,118274,51711,59220,33236,34233,18569
뚝섬,성수,2,90300,46285,206198,56737,90712,40939,53290,23576
성수,건대입구,2,140141,166938,155664,252716,120500,195427,122980,111922
건대입구,구의(광진구청),2,39817,59275,49205,94979,27224,77645,21222,51827
구의(광진구청),강변(동서울터미널),2,86095,114530,95090,157940,78932,123763,70662,86276
강변(동서울터미널),잠실나루,2,39784,31844,38685,46719,21289,38790,16532,24331
잠실나루,잠실(송파구청),2,268940,231497,368330,312427,264048,223094,247370,134890
잠실(송파구청),잠실새내,2,44943,67661,50202,99840,37629,80194,33045,48049
잠실새내,종합운동장,2,62230,78082,48878,79426,34592,46497,39718,26415
종합운동장,삼성(무역센터),2,215675,81409,333254,89250,210703,56530,149285,28230
