from,to,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
소요산,동두천,1,6359,9649,7763,8523,6606,6747,6692,7324,3359,5898,2112,4606
동두천,보산,1,5641,3354,5389,3491,5908,4634,3876,5485,2111,5712,1627,4058
보산,동두천중앙,1,11954,5771,12408,11696,8222,9028,9277,9275,3595,8653,2516,6347
동두천중앙,지행,1,26948,6746,30945,15852,14182,22556,16370,26297,8662,24894,7325,18382
지행,덕정,1,25202,10637,27967,24769,17895,16018,16833,18508,8350,19898,5390,14153
덕정,덕계,1,13666,2822,13418,4366,4842,5613,4238,8158,1991,7580,1286,5958
덕계,양주,1,39303,13891,36394,14975,17184,21911,19453,27747,10154,27808,5270,20604
양주,녹양,1,22541,4898,21085,10419,9472,11987,10145,17393,5236,17234,3735,11852
녹양,가능,1,27949,5099,27954,19415,14009,17733,11999,23756,7803,22670,5654,14549
가능,의정부,1,51599,16760,50710,39559,54371,56128,57177,65899,38452,63958,34882,40002
의정부,회룡,1,66617,9093,56965,13966,17159,39954,15851,46506,9861,50799,7705,31939
회룡,망월사,1,31536,6191,30269,29464,22671,22699,16536,28328,9280,28775,7720,18440
망월사,도봉산,1,88069,12666,70511,29010,42414,36617,32439,48344,17519,54854,10518,34737
도봉산,도봉,1,23238,4431,24141,12299,11357,15708,12418,19675,6033,19005,4089,10941
도봉,방학,1,37353,8957,36983,22289,18315,26725,20631,34694,11332,31846,8233,19117
방학,창동,1,117138,23494,102768,49936,53884,77599,58222,111194,32781,105043,25360,67549
창동,녹천,1,25047,4805,23541,5878,7408,11038,6368,16170,4126,15700,2589,9960
녹천,월계,1,22088,8954,23881,14537,18305,16376,13678,20576,7855,19114,6501,11791
월계,광운대,1,39803,7571,36353,26458,21577,21900,17935,28850,10576,26878,9247,17542
광운대,석계,1,87450,17214,101957,33185,39230,72437,36904,98921,26709,94040,20225,58135
석계,신이문,1,45846,4872,49578,10332,11314,24849,11808,34923,8052,31396,5067,19749
신이문,외대앞,1,24229,6836,31135,30172,29701,23772,24081,29665,15734,26511,13041,17123
외대앞,회기,1,65305,33969,83479,78061,80168,65856,72382,89550,44427,77319,37966,48033
회기,청량리(서울시립대입구),1,81179,40220,100983,74031,109522,102113,95179,123920,64677,95842,64656,54536
청량리(서울시립대입구),제기동,1,24975,21813,37881,49490,57853,34803,51950,32053,27382,23387,17698,14393
제기동,신설동,1,27544,40572,41819,110705,69110,40053,102295,43168,43462,32733,27005,22211
신설동,동묘앞,1,18281,23634,25505,61866,73584,37760,67522,31531,32865,23845,19514,16754
동묘앞,동대문,1,25822,59420,35959,124341,141722,63299,134275,59317,76336,65494,55852,46316
동대문,종로5가,1,6257,42542,10308,125179,94905,44247,129691,42239,72476,25947,47890,11958
종로5가,종로3가,1,13691,61437,22056,185606,201165,112660,266933,124358,183998,74619,130293,35386
종로3가,종각,1,7830,102322,13019,283222,154174,61624,257518,77144,128618,47309,109008,19123
종각,시청,1,14970,139618,22367,445991,194011,62386,378780,64429,153827,36228,117434,20233
시청,서울역,1,87948,200290,157041,432584,285787,197502,432083,205334,235908,157095,171212,116898
서울역,남영,1,14160,25408,20812,73283,30757,19643,56995,26593,23825,19298,17528,12882
남영,용산,1,25499,89914,37689,174800,131048,84332,175955,102343,110708,68905,112654,46650
용산,노량진,1,87701,82657,135729,123623,85504,104547,111974,158024,66691,114225,68114,69551
