"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201910","1호선","동대문","789","13","15970","2252","12406","8577","18856","15499","25262","30958","25256","32347","22509","33360","24803","40253","29679","38997","33072","39792","35312","38110","36602","35391","36190","32165","35305","31917","34976","31913","24516","32922","19140","23191","17453","18697","15193","18237","8436","13853","1019","4572","4","117","0","0","0","0","20191103"
"201910","1호선","동묘앞","136","7","3861","847","3775","5232","7368","12508","10618","30335","10271","19732","11954","24131","17544","33942","24367","38499","32376","43784","37496","42218","42656","36315","45880","26899","43157","19443","34822","12682","14573","8983","7728","6373","6828","6353","4399","6877","2002","4880","271","3652","1","252","0","0","0","0","20191103"
"201910","1호선","서울역","1129","13","12692","10339","15159","64808","45700","111328","88592","233009","68549","173322","71754","94790","93493","88350","103866","98375","105043","98591","93298","90566","120307","93077","126457","98543","172027","108603","258194","113308","141990","84079","101788","61302","100257","53084","73364","39231","34242","20983","3954","6970","2","375","0","0","0","0","20191103"
"201910","1호선","시청","234","8","4247","4668","4237","26288","8621","72587","11681","209095","15011","97956","18586","58271","24451","66876","28190","76610","39922","82611","59849","61945","74215","44412","80350","35956","98082","33854","177703","34631","79286","19076","64453","10527","64072","9098","41694","7486","16103","4760","976","1406","0","32","0","0","0","0","20191103"
"201910","1호선","신설동","352","16","10999","2585","11006","9403","22440","28704","32631","80223","24796","43376","22725","27305","25689","24205","27419","24260","29692","25226","28265","23704","31809","25437","36246","25613","47328","30633","73558","34265","30910","26126","19718","17689","18312","17415","13151","17155","5665","12543","631","3152","1","19","0","0","0","0","20191103"
"201910","1호선","제기동","400","2","5489","2559","9348","10472","24975","21813","37881","49490","27615","48142","30145","47778","39952","58728","48140","63673","52945","68278","60303","62751","67314","54448","67140","41104","57853","34803","51950","32053","27382","23387","17698","14393","13013","12435","9441","11975","3934","8031","433","1993","0","0","0","0","0","0","20191103"
"201910","1호선","종각","181","6","5685","4974","4898","31390","7830","102322","13019","283222","17188","167212","22024","83362","34350","87268","43288","88287","63752","92674","85159","72921","102677","58562","110629","55471","154174","61624","257518","77144","128618","47309","109008","19123","120483","12915","94264","8794","42281","5925","3541","1414","1","6","2","1","0","0","20191103"
"201910","1호선","종로3가","244","9","5779","3121","5000","15706","6922","30399","11808","83250","16950","95463","29009","83996","42219","96925","55899","97168","70129","95204","82057","85835","97346","67687","106757","59586","110305","57101","133180","61651","92968","36720","69466","16288","72468","12279","60092","9572","25808","6744","3052","2820","0","40","0","0","0","0","20191103"
"201910","1호선","종로5가","40","0","2232","4047","3431","17827","6257","42542","10308","125179","15136","81967","24857","69249","38170","76791","50522","73532","62925","68953","73040","65010","78084","55852","80810","48927","94905","44247","129691","42239","72476","25947","47890","11958","39454","8907","29835","6168","12920","4145","773","1223","1","10","0","0","0","0","20191103"
"201910","1호선","청량리(서울시립대입구)","1528","8","13126","4280","18658","14760","48733","21794","63644","45635","43479","44430","38057","43123","44374","53682","52238","57315","53894","65600","56587","64516","62774","61770","69344","56966","66614","59081","57383","67775","34223","50754","27252","30221","21442","28089","14796","27743","7111","18736","425","5584","0","0","0","0","0","0","20191103"
"201910","2호선","강남","316","11","16499","14019","26543","58234","49689","168785","77852","359844","70556","370168","68852","185233","88639","149839","113439","150938","142495","180013","150215","158616","179821","146393","204566","159462","273086","195025","396172","267945","257779","205506","213890","99112","254416","74625","272493","68348","115867","41816","21294","11836","16","113","0","1","0","0","20191103"
"201910","2호선","강변(동서울터미널)","43","5","10139","3743","32255","37022","99323","40693","149363","64459","116428","60250","92537","56682","84551","52974","82804","61228","78842","70813","72386","76979","73498","90008","77858","102238","86095","114530","95090","157940","78932","123763","70662","86276","58705","75495","40595","69996","15329","37168","2250","9285","2","78","0","0","0","0","20191103"
"201910","2호선","건대입구","434","13","21003","2344","27080","19950","64861","29332","113433","77586","76811","59171","49674","56806","47052","58593","56497","70719","63596","77673","64958","76979","69612","82245","78295","95575","93182","129490","108612","196369","85011","153929","84736","90412","96516","81194","98221","76142","61228","47147","10365","15593","7","1302","0","1","0","0","20191103"
"201910","2호선","교대(법원.검찰청)","26","1","3201","8201","15098","31870","32199","69694","47419","171464","38875","158107","36570","83123","43774","72370","47494","68599","59483","74442","66120","70878","72828","70007","74891","81107","108158","103390","170477","121834","96831","77893","88491","40648","89404","32585","76428","31289","27406","17299","5541","5030","1","16","0","0","0","0","20191103"
"201910","2호선","구로디지털단지","366","12","49130","7157","59304","24246","161283","76923","212694","274049","140479","165447","87736","67722","77960","57574","82835","57750","84648","73140","75201","76463","78019","83209","94805","93996","133612","131295","254236","191683","135711","164753","83059","106568","69766","112286","56125","111653","28748","68881","4626","19842","4","294","0","0","0","0","20191103"
"201910","2호선","구의(광진구청)","26","0","15273","1467","28665","10942","75311","16725","129492","41837","76858","27350","42158","22776","36523","22343","36985","25077","37380","29134","33079","31502","31703","38003","35514","44967","39817","59275","49205","94979","27224","77645","21222","51827","19463","49334","17250","50157","10327","29884","1725","9505","0","155","0","0","0","0","20191103"
"201910","2호선","낙성대","95","3","12895","2656","29433","11520","92868","22379","144420","50301","93146","42700","50950","36641","43331","30019","48069","34587","48826","36188","43241","37227","46526","42320","50455","49185","56066","63935","63133","103880","38411","99963","28912","65693","27160","64452","22129","65943","12545","44288","2098","12853","1","209","0","0","0","0","20191103"
"201910","2호선","당산","55","5","8417","4692","21035","17552","55523","32522","73420","96760","48161","47650","35224","26555","32837","25984","32835","27149","32019","30814","29002","32232","29926","35403","35907","41529","51998","53364","76930","84206","39748","65393","27646","43777","27398","42053","23899","40656","11961","27228","1944","7273","2","189","0","0","0","0","20191103"
