사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201911,1호선,동대문,710,11,15526,2157,11602,8058,17880,13883,24318,28116,24082,31525,21499,31018,23887,36206,28225,36450,31431,36872,33072,34561,34465,32902,33651,30668,33872,30865,32396,30232,22377,31226,18076,21867,16448,17290,14334,17105,8082,13551,1058,4686,1,84,0,0,0,0,20191203
201911,1호선,동묘앞,129,3,3732,761,3527,4782,7269,11329,10256,29107,9733,19907,10926,21772,16821,30962,22788,34657,30203,40282,35716,37500,39028,32284,43377,23717,39812,17197,28207,11995,12446,8186,7452,6247,6382,6396,4047,6729,1899,4740,235,3808,1,183,0,0,0,0,20191203
201911,1호선,서울역,1019,26,11590,9390,14391,57182,42971,105213,87305,226780,67678,174607,68167,92375,90965,83188,99178,92812,101652,96818,86494,85764,118199,91024,123372,96567,173386,109475,256149,114261,138349,82312,97617,59499,97623,52623,71535,38394,34270,20872,3959,7479,2,416,0,0,0,0,20191203
201911,1호선,시청,78,2,2305,4294,3912,23460,8160,65801,10751,203319,13525,102175,17379,54826,24491,53796,28068,52231,35230,56020,45316,46801,57429,38468,70921,33637,91667,33451,170360,34605,74106,18177,60743,10180,61804,8747,40170,7080,14929,4414,917,1419,1,38,0,0,0,0,20191203
201911,1호선,신설동,271,20,10616,2536,10298,8549,21042,26898,32014,76155,23688,43661,21311,26640,24345,23581,26149,23302,28092,24417,27377,22767,30156,24444,35668,24911,46693,29341,72125,33486,28881,25489,18719,16704,17427,16307,12800,16015,5815,11661,586,3008,0,21,0,0,0,0,20191203
201911,1호선,제기동,332,1,5141,2348,8529,9591,23473,20443,36695,46780,26657,45890,28050,43671,36778,54535,44321,58875,50394,65000,56140,57818,64759,50653,63023,38508,54443,31734,48078,30218,24867,22078,16651,14101,12035,12409,8948,11600,3956,8455,422,1921,0,4,0,0,0,0,20191203
201911,1호선,종각,99,0,4307,4647,4480,26687,7318,95355,12414,273124,15581,174734,20750,79676,32824,75005,41344,69063,56259,72027,66526,61612,81845,53139,94418,55021,146602,66018,248103,83968,121851,48981,105922,19928,124509,12837,100457,8918,45860,5781,3847,1616,0,10,0,0,0,0,20191203
201911,1호선,종로3가,187,10,5307,2998,4617,14703,6657,27630,11028,79010,15803,90688,26365,78378,39660,85676,53173,87584,66401,87504,76172,79392,85615,64447,95877,58385,101394,57417,122185,63449,84314,37239,64827,15594,72171,11110,61122,9014,26081,6152,3031,2757,6,51,0,0,0,0,20191203
201911,1호선,종로5가,39,0,2195,3809,3118,16262,5783,39965,9742,119740,13901,82155,23086,64868,34593,69477,45972,68464,58668,64794,68442,60708,72326,52825,77039,48063,95767,44052,124043,42113,67845,26629,45822,12025,39951,8598,31979,6019,10796,3768,827,1119,0,4,0,0,0,0,20191203
201911,1호선,청량리(서울시립대입구),1521,14,12560,4145,17611,13668,46531,19365,63210,42662,42191,42275,36022,41735,41746,50964,48480,55568,52272,63044,54937,63009,61289,57941,66974,55073,64121,56736,52989,65834,31692,46891,25793,29240,20091,27753,14421,26869,6591,18227,398,5964,1,3,0,0,0,0,20191203
201911,2호선,강남,274,9,15757,13814,24937,57136,46985,152605,77059,357421,68489,368685,65933,188913,86404,151452,111077,147536,142881,177053,149581,158087,179638,146524,204182,159447,276607,199468,387701,283910,252975,210222,209318,93332,255424,70695,266574,60672,122348,38769,22860,11354,24,321,0,0,0,0,20191203
201911,2호선,강변(동서울터미널),28,0,9758,3617,30448,32232,94258,37257,146892,60427,114715,58485,91555,56057,83635,54663,80815,62232,77673,72470,73985,79944,73570,91151,76301,102549,84108,117097,92413,157046,78571,120900,67916,82538,53889,69940,37617,65035,15154,36447,2204,9312,4,255,0,0,0,0,20191203
201911,2호선,건대입구,373,11,20698,2457,25538,18493,61867,27786,112345,76706,77048,58642,47425,56167,45251,59094,54961,69624,60788,76963,62495,76376,68605,81543,78420,96213,96141,131814,107338,202398,81840,155441,82772,89082,97384,77673,101697,73167,64919,46250,11317,15133,11,1440,0,0,0,0,20191203
201911,2호선,교대(법원.검찰청),38,3,2899,8140,14284,29984,30637,58672,46445,166832,37882,158669,35661,83056,42307,72393,45714,66988,58706,72794,65821,67976,70553,64130,74040,66009,107911,83797,163939,103966,82662,66605,69947,35345,74175,30504,61912,28537,25391,17039,5102,5006,9,64,0,0,0,0,20191203
201911,2호선,구로디지털단지,266,9,46526,6849,57680,23681,154758,71887,212010,270290,139395,171273,84506,68961,72343,57369,80144,57883,83660,73945,74564,74716,77498,82397,93355,92730,135130,131516,253518,187896,132097,165997,82373,103094,69916,106089,57802,107190,28966,68626,4732,18061,10,463,0,0,0,0,20191203
201911,2호선,구의(광진구청),33,4,14625,1381,27789,11176,71828,15917,129644,41408,77155,27909,40721,22530,35327,21537,35779,24918,36120,28614,33124,30676,31401,37765,34769,44900,40084,59654,48539,94060,26727,77259,20607,50383,19343,48419,17054,48438,10262,29487,1896,9217,6,300,1,0,0,0,20191203
201911,2호선,낙성대,66,3,12581,2429,27928,11417,88822,21175,144211,47394,93757,41972,50022,34715,41924,28724,46392,33257,47266,35723,42157,36772,44970,41736,48669,47129,55487,64695,62780,100000,36826,99656,27898,63492,25824,62367,21488,64186,12438,44446,2154,13093,6,290,1,0,0,0,20191203
201911,2호선,당산,46,2,7455,4367,19160,15752,52480,30689,71487,95226,47413,47737,33000,25448,30462,23694,31264,25620,30432,28729,27034,28542,28209,32383,34489,38300,48812,50996,74342,81051,37548,63168,25131,39922,25169,39528,22456,39357,11607,26310,1815,6987,2,283,1,0,0,0,20191203
201911,2호선,대림(구로구청),717,23,43878,4307,34825,13093,77782,24080,112586,64389,82783,43402,49661,39282,41071,39968,43498,39047,44484,42673,40189,42089,41306,50264,45999,56219,54391,81787,67191,88635,36815,70760,27139,49398,22261,62409,16365,63399,8934,33804,1166,8740,6,308,0,1,0,0,20191203
201911,2호선,도림천,0,0,464,362,1137,951,2919,5414,3825,6577,2196,2248,2124,1590,1741,1377,2068,1889,1824,1347,2106,1759,2520,1634,3662,1891,3165,2151,3512,2820,1926,2499,984,1649,817,1470,523,1193,248,1058,51,351,0,9,0,0,0,0,20191203
201911,2호선,동대문역사문화공원,425,3,10450,1070,6466,9518,9048,26754,16901,67221,16551,47938,18494,39698,22689,36993,28764,38288,30337,43358,34827,40915,42981,37840,52070,35938,58458,39307,67098,46319,43374,51147,33261,35418,31008,27383,29448,21385,20299,14707,3700,5051,11,223,0,0,0,0,20191203
201911,2호선,뚝섬,13,2,4420,2081,9036,15208,23740,30109,36399,131184,22660,73110,17851,33229,19071,26377,22640,28940,27140,31152,29041,29083,32307,30583,40419,31380,55093,35619,116160,48029,57855,32010,33207,17199,32133,16004,21744,15533,8946,10734,1361,3587,2,150,0,0,0,0,20191203
201911,2호선,문래,9,0,3955,1974,12165,11370,46288,32438,52425,124272,32344,64117,23970,26970,24172,24670,27464,26456,29477,26535,28344,26522,30060,27286,34485,29322,56116,35695,104809,55291,41882,45088,27653,25004,27455,22474,21547,21029,10473,14061,1704,4714,9,223,0,0,0,0,20191203
201911,2호선,방배,13,0,3165,5066,10946,13974,26581,29740,41140,87696,34610,67948,25155,43760,26723,31059,29067,33866,33536,32957,34910,32757,41093,29761,49189,33235,60214,39902,84433,47905,38393,38639,29162,24016,29872,22573,25250,23000,11771,14053,2564,4507,1,56,0,0,0,0,20191203
201911,2호선,봉천,133,1,17551,2006,30852,9187,91089,14117,136903,28777,83957,25333,46892,22528,37577,23327,39570,26357,41440,29575,34152,31757,33599,40366,36772,45131,38232,58869,38421,88001,23741,83481,18156,50822,16795,49816,13032,48912,6102,30615,993,10342,4,314,1,0,0,0,20191203
201911,2호선,사당,318,11,14678,4143,25379,36200,80097,55212,116092,85551,85276,68428,57448,51585,52372,59979,61536,61698,67268,62332,70809,62155,68213,73729,73400,95954,87751,130292,110318,193915,81753,147777,76400,84902,86455,78058,87032,77613,50596,51677,8790,16531,31,1075,0,0,0,0,20191203
201911,2호선,삼성(무역센터),156,1,5730,5690,9035,44461,19412,131167,28329,362317,28616,295950,30563,145494,44909,121305,59942,106065,81694,115589,99481,102042,124299,87301,149681,83109,229074,87169,349892,95118,215152,57314,155211,27083,128388,21008,97341,17327,27765,10189,3843,6158,4,1560,0,0,0,0,20191203
201911,2호선,상왕십리,29,2,6342,827,13271,6315,41746,11721,71581,38334,38862,23240,24840,15366,22493,14047,23455,15278,22881,18049,20539,18751,22399,21775,23219,26171,27555,33558,33269,53019,20691,40478,13893,25860,12940,24612,10047,24824,4087,16297,624,5579,4,91,0,0,0,0,20191203
201911,2호선,서울대입구(관악구청),4696,19,30998,3148,46497,17947,139715,33470,208968,76520,138327,84500,81970,67779,72895,56569,79792,62166,86876,71259,77374,68543,82412,77698,90837,87574,104614,118859,113368,182044,72754,174709,59253,105717,60718,98774,57620,101120,30576,66981,5356,26230,6,4004,1,1,0,0,20191203
201911,2호선,서초,14,0,1413,5642,7472,22761,16445,50418,28186,130564,30322,118196,24259,53946,33242,41479,36757,33339,43952,35138,44210,34060,48929,27971,57422,29393,78926,32256,117753,36155,56361,24858,38957,13122,40940,11734,25841,11329,8410,7109,1135,2158,2,25,0,0,0,0,20191203
201911,2호선,선릉,112,3,6268,6890,12217,44299,23851,109639,40234,317901,40470,242516,42610,109298,56565,74292,66735,65699,79382,77653,86332,66035,106338,58602,144690,58686,188484,64160,313925,72767,158186,49357,99385,28253,100191,23681,84940,21290,33721,13212,5602,6158,3,323,0,0,0,0,20191203
201911,2호선,성수,27,0,5676,4182,10912,28281,26987,65118,37253,271941,30128,114298,24637,47237,26338,36775,29599,35976,35617,40571,38867,39130,43666,39385,52651,39819,92417,44845,211789,55906,88445,39391,51887,22385,48757,20130,36264,18200,15531,12674,2173,7950,3,1139,0,0,0,0,20191203
201911,2호선,시청,57,1,1286,1769,2393,15780,6040,62292,9910,236457,13822,101704,19981,36598,27882,34411,28606,33361,35695,38732,41947,34510,49192,29396,56193,26879,95717,27967,199432,29620,71042,16423,51537,9247,47844,8655,33029,7984,13780,5539,1969,1836,4,125,1,1,0,0,20191203
201911,2호선,신답,1,1,1121,83,1831,501,7035,942,11517,1965,4852,1107,2825,1076,2453,1285,2278,1529,2309,1781,1905,2136,1748,3069,2016,3753,2200,4383,2240,9633,1277,7560,739,3762,616,4211,622,3224,206,2309,29,645,0,12,0,0,0,0,20191203
