호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
1호선,동대문,13558,11917,17863,23651,21579,15609,21222,16858,14315,17281,10938,11918
1호선,동묘앞,5452,8608,8526,21141,21926,12554,19733,9844,9437,6226,5504,4051
1호선,서울역,34033,80382,52613,163620,107562,55211,163496,64791,73905,40168,47149,25097
1호선,시청,6210,57888,7368,152937,62498,12167,128494,12588,43231,6198,31976,3934
1호선,신설동,15927,23882,22747,59304,38122,18668,54750,23752,19516,16274,12523,9911
1호선,제기동,20256,19869,29625,40468,35754,22731,35339,24909,15588,17333,9232,10394
1호선,종각,5346,86386,7986,196740,104818,25848,175390,28561,68712,14364,53659,6064
1호선,종로3가,4445,25723,7594,67165,64884,25006,89105,25452,49389,12528,34524,5428
1호선,종로5가,4807,38294,7293,97378,66537,20831,90510,17243,41528,10264,23971,4808
1호선,청량리(서울시립대입구),33371,16224,41384,34044,42912,35887,38632,44112,20451,29361,15020,16071
2호선,강남,35242,144595,54029,299804,222903,104186,312517,139831,185908,76204,137750,36586
2호선,강변(동서울터미널),72218,22501,95427,43748,43214,64541,51796,100880,36890,66918,27065,40858
2호선,건대입구,48460,24644,80876,55232,60932,79571,73287,120841,51235,77051,47452,43286
2호선,교대(법원.검찰청),21346,55403,29814,149746,89143,43639,135568,54945,60347,33740,42942,18157
2호선,구로디지털단지,124041,84122,165444,242039,116437,95266,212798,150463,98593,114487,54012,68163
2호선,구의(광진구청),61180,14598,101427,38777,30491,48259,39202,85567,19657,60112,14560,37127
2호선,낙성대(강감찬),71387,16160,114841,35896,37538,53894,43581,91672,23952,77706,18167,46097
2호선,당산,41992,27581,49671,67488,34149,36828,53059,65603,23101,42854,16498,25825
2호선,대림(구로구청),60413,22965,83744,50713,36917,54886,46823,66457,24408,47921,16387,32340
2호선,도림천,2931,3464,3051,5586,2692,2119,3840,2733,1917,2292,857,1416
2호선,동대문역사문화공원(DDP),6033,18876,8563,43793,32039,15086,35381,17248,21048,18953,15736,11879
2호선,뚝섬,16613,34950,23027,128674,54646,26762,114933,36109,52174,21214,30651,11288
2호선,문래,37023,35375,41203,114737,50752,28515,96292,48928,32727,33299,21028,16983
2호선,방배,20269,25333,27449,65602,36080,25045,58031,33579,24041,23034,15902,14054
2호선,봉천,74203,11218,108660,24446,25845,48266,30421,82045,17044,65393,13534,38826
2호선,사당,65492,37026,89922,55892,56943,84677,81388,127288,48717,86146,40208,50626
2호선,삼성(무역센터),13714,114580,18058,276936,157248,36352,241258,40348,118019,22935,82688,13107
2호선,상왕십리,34140,11479,52275,33370,21885,28580,26246,45992,15619,30631,10538,17730
2호선,서울대입구(관악구청),115574,27392,164058,61601,70343,95910,79687,162358,48562,127345,39015,72576
2호선,서초,14120,45452,21704,111813,62811,17642,93676,20020,36446,13238,22332,8333
2호선,선릉,18658,102981,27492,255918,161750,40505,265212,43851,123016,26645,72674,15736
2호선,성수,20378,73396,27253,252961,98975,38635,218357,47993,90164,28333,50284,14625
2호선,시청,4359,60474,6263,178547,70653,12550,148670,12183,45702,5967,28362,3243
2호선,신답,5782,804,8943,1575,1619,4124,1927,9320,892,6289,557,2853
