from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
소요산,동두천,1,5223,8329,5207,4575,3936,3130,4844,4224,2571,3516,1253,3326
동두천,보산,1,4469,2253,3367,2528,3119,2819,2416,2817,1485,3839,1063,2459
보산,동두천중앙,1,8238,4246,7600,8426,5235,5311,6908,5538,2810,6800,1964,3903
동두천중앙,지행,1,20116,5385,18079,10755,8632,13288,10382,15869,5247,18308,4615,10088
지행,덕정,1,16847,9540,15403,11044,8991,10689,11288,12096,4556,13078,3354,7059
덕정,덕계,1,11941,3281,9985,4050,4117,5702,4350,7928,1647,8355,1204,4694
덕계,양주,1,28592,10400,23195,10819,10769,14651,13357,20091,6195,18757,3762,13438
양주,녹양,1,16937,4651,13731,7868,6180,9026,7284,12296,3414,12831,2300,7768
녹양,가능,1,22592,6778,20202,11799,9635,12114,8646,17956,5203,17384,3804,10987
가능,의정부,1,43950,13657,39807,35185,33578,33408,37586,49567,23154,44639,23881,24960
의정부,회룡,1,51535,8661,42457,11345,12351,26175,11071,40232,6512,39619,5043,20928
회룡,망월사,1,25221,4138,24542,9986,9478,15043,9290,23137,4596,22319,3271,12544
망월사,도봉산,1,69119,12408,57965,18923,26114,26900,23880,42752,12809,47112,8058,25607
도봉산,도봉,1,18355,3989,17630,9540,8307,11681,9498,14957,4524,14899,2814,8587
도봉,방학,1,29061,8145,26979,18415,12737,19138,16482,26512,8792,24552,6159,13080
방학,창동,1,84129,17162,73639,35940,35895,56035,37298,88174,22177,74973,17309,40662
창동,녹천,1,19849,3202,16154,4653,4945,8106,4489,14181,3575,12300,1836,6858
녹천,월계,1,22884,5587,19772,8800,7228,11838,6866,19709,4145,17410,3034,8938
월계,광운대,1,29656,5077,28788,8314,8489,14384,8404,24464,5205,20939,4125,12349
광운대,석계,1,67692,11861,75899,19332,22837,48252,21475,82614,15871,66213,11597,36202
석계,신이문,1,33293,4129,35992,7636,7870,18595,7731,29968,5211,23926,3214,14248
신이문,외대앞,1,15780,3242,20032,8945,10459,14471,9555,21092,6503,16903,5022,10216
외대앞,회기,1,51402,25164,65510,42198,44985,41972,39138,65016,21501,50691,16998,30395
회기,청량리(서울시립대입구),1,59176,29438,77879,55528,69752,63740,70362,88198,40028,60130,36828,31452
청량리(서울시립대입구),제기동,1,20256,19869,29625,40468,35754,22731,35339,24909,15588,17333,9232,10394
제기동,신설동,1,20349,33322,30359,83130,54153,24981,74077,30948,27824,21101,17395,12738
신설동,동묘앞,1,13229,17456,20324,47626,41013,24391,40861,24874,20649,17183,12768,11015
동묘앞,동대문,1,18705,49376,25164,100148,103339,29129,86212,26438,42041,29526,29414,20882
동대문,종로5가,1,4807,38294,7293,97378,66537,20831,90510,17243,41528,10264,23971,4808
종로5가,종로3가,1,8706,53740,13364,146908,125526,52268,185109,54812,104033,27463,69432,11360
종로3가,종각,1,5346,86386,7986,196740,104818,25848,175390,28561,68712,14364,53659,6064
종각,시청,1,10569,118362,13631,331484,133151,24717,277164,24771,88933,12165,60338,7177
시청,서울역,1,64085,144406,89924,284252,178789,95142,276241,113907,125279,73197,77419,45527
서울역,남영,1,10439,17016,14564,44314,21811,12548,39711,18354,14970,12676,9661,7510
남영,용산,1,17380,60434,25345,122678,91021,48132,130509,55130,76656,39721,67158,22579
용산,노량진,1,70980,58773,102888,81117,57863,65804,70435,104400,38779,68786,36417,42540
노량진,대방,1,26337,33010,34923,45535,28742,20431,41739,34267,15115,22651,10564,13910
대방,신길,1,33279,18417,45865,36871,22252,22867,37593,37157,14897,24650,9354,15291
