from,to,line,am7,am8,pm5,pm6,pm7,pm8
소요산,동두천,1,-2879,458,408,411,-1348,-2004
동두천,보산,1,1932,1154,160,-509,-2802,-1515
보산,동두천중앙,1,3718,-769,90,1234,-3800,-2206
동두천중앙,지행,1,13442,7146,-4450,-5583,-12091,-5442
지행,덕정,1,7376,3023,-1500,-1397,-8065,-3571
덕정,덕계,1,8014,5882,-1832,-3983,-6580,-3442
덕계,양주,1,16052,11612,-3926,-7186,-12583,-8793
양주,녹양,1,11237,4684,-2830,-4972,-9276,-4671
녹양,가능,1,14888,8197,-2633,-8455,-11876,-6908
가능,의정부,1,27810,4901,-543,-9296,-19187,-438
의정부,회룡,1,39472,28720,-14448,-27796,-31109,-14853
회룡,망월사,1,19162,12587,-5346,-13880,-16862,-9232
망월사,도봉산,1,51717,35313,-85,-18418,-31293,-17193
도봉산,도봉,1,13011,7167,-3108,-5730,-9777,-5241
도봉,방학,1,18846,7639,-6145,-9831,-14769,-6883
방학,창동,1,61695,33682,-18700,-49360,-48596,-22343
창동,녹천,1,14893,10621,-2833,-9435,-8078,-5191
녹천,월계,1,15134,11003,-5234,-12151,-11950,-6085
월계,광운대,1,22602,18483,-6056,-15949,-14224,-8025
광운대,석계,1,49868,52283,-24090,-59293,-47576,-23423
석계,신이문,1,25884,25434,-10786,-21398,-18125,-10466
신이문,외대앞,1,11671,10744,-3269,-10882,-9900,-5312
외대앞,회기,1,23259,19183,3261,-24877,-28909,-12928
회기,청량리(서울시립대입구),1,26355,20300,6239,-14481,-17437,5906
청량리(서울시립대입구),제기동,1,813,-9447,12632,8850,-1925,-1230
제기동,신설동,1,-11463,-46786,26660,36599,5828,3186
신설동,동묘앞,1,-3549,-23197,18459,15434,2688,1337
동묘앞,동대문,1,-24727,-60897,59787,51491,12771,8371
동대문,종로5가,1,-29864,-78741,43259,66375,29835,19092
종로5가,종로3가,1,-40544,-119756,73814,127271,79559,61621
종로3가,종각,1,-73756,-171045,76873,140331,54321,48007
종각,시청,1,-99091,-290806,105327,233685,74476,52783
시청,서울역,1,-73185,-173426,75931,150259,51223,31805
서울역,남영,1,-6777,-28434,8487,20134,2510,2038
남영,용산,1,-38081,-91931,49765,76624,39386,48547
용산,노량진,1,11254,21528,-6497,-30984,-28235,-6957
노량진,대방,1,-7070,-10155,6484,6411,-7115,-3796
대방,신길,1,13869,8896,-1754,-672,-10036,-6793
신길,영등포,1,-16591,-62944,21253,45913,21547,46948
영등포,신도림,1,77577,12920,-9117,-30468,-39925,-8423
신도림,구로,1,714,-38600,12062,21502,-1577,-320
구로,구일,1,16148,11269,-4306,-13288,-14051,-6626
구일,개봉,1,61242,50569,-24895,-56518,-47263,-22519
개봉,오류동,1,38014,31482,-10629,-27048,-26804,-12949
오류동,온수(성공회대입구),1,47001,46310,-11573,-38793,-34876,-18704
온수(성공회대입구),역곡,1,89587,73282,-29100,-68830,-66935,-31506
역곡,소사,1,22462,17431,-7030,-18055,-17052,-8899
소사,부천,1,72896,52092,-23629,-58497,-51689,-15253
부천,중동,1,31257,16134,-7306,-16311,-20322,-9717
중동,송내,1,63094,13854,-12483,-19698,-47449,-21710
송내,부개,1,27881,17117,-8005,-16068,-16529,-9727
부개,부평,1,52070,37098,-16368,-48538,-39757,-5633
부평,백운,1,20535,13065,-4708,-13507,-15900,-8120
백운,동암,1,33119,26883,-10517,-23873,-28578,-15806
동암,간석,1,16538,8382,-3959,-8412,-12130,-5956
간석,주안,1,37390,20308,133,-15896,-31879,-11382
주안,도화,1,10669,5577,-2431,-4870,-7874,-3653
도화,제물포,1,23166,7055,-2035,-8450,-17768,-9853
제물포,도원,1,437,-6766,1381,741,-2152,-1390
도원,동인천,1,14704,-1481,7447,3920,-13184,-5708
동인천,인천,1,-792,-4686,8356,6341,2285,2549
구로,가산디지털단지,1,-122037,-439115,179366,331702,121715,61707
가산디지털단지,독산,1,-2086,-55094,23000,28002,-714,-456
독산,금천구청,1,25745,11354,-8380,-17882,-20174,-8093
금천구청,석수,1,22082,16913,-2395,-13357,-15181,-7305
석수,관악,1,21096,16603,-4101,-14762,-14041,-6388
관악,안양,1,52514,33898,-9514,-40797,-35607,-12342
안양,명학,1,-1891,-25461,10132,14483,-5627,1176
명학,금정,1,33572,-6490,-2126,-5909,-29894,-12980
금정,군포,1,-11489,-23694,10258,17683,-313,1671
군포,당정,1,12966,5895,-921,-6181,-10967,-6713
당정,의왕,1,4020,1626,4949,-4271,-8295,-6802
의왕,성균관대,1,45394,26817,-9011,-29954,-29253,-16309
성균관대,화서,1,27518,15746,-5601,-20009,-17836,-9978
화서,수원,1,32243,5569,379,-14486,-12474,28439
수원,세류,1,7715,4603,-388,-4661,-4542,-2595
세류,병점,1,21482,6921,-193,-11656,-20681,-13698
병점,세마,1,4881,-991,-562,-24,-4339,-2180
세마,오산대,1,5753,354,159,-2047,-3475,-1371
오산대,오산,1,-6009,-568,3742,-848,-5002,-5218
오산,진위,1,-3738,-4280,3250,6094,511,505
진위,송탄,1,6418,3091,-1824,-2149,-6537,-4119
송탄,서정리,1,819,-2207,5983,3254,-4244,-3566
서정리,지제,1,0,0,0,0,0,0
지제,평택,1,9395,-1928,635,-3870,-3559,2588
평택,성환,1,-3458,-3480,2790,1690,-1254,-822
성환,직산,1,-879,-1579,1123,1155,-341,-72
직산,두정,1,5618,1935,-652,-4686,-4424,-2858
두정,천안,1,3276,-1735,-159,-1420,-1377,-616
천안,봉명,1,-1111,-973,884,27,-450,-202
봉명,쌍용(나사렛대),1,3293,2180,-1078,-1732,-2041,-979
쌍용(나사렛대),아산,1,732,-501,-331,1809,1933,180
아산,배방,1,1146,270,-644,-82,-784,-832
배방,온양온천,1,2446,613,-2350,1011,-2297,-1882
온양온천,신창(순천향대),1,273,-2746,2250,-2,-775,-570
금천구청,광명,1,5779,4321,1559,-3243,605,835
병점,서동탄,1,6678,1388,-521,-1710,-4106,-1305
시청,을지로입구,2,-90673,-233094,91725,178612,65866,63288
을지로입구,을지로3가,2,-79019,-179816,76756,143735,52389,35162
을지로3가,을지로4가,2,-39186,-97000,49261,79760,33557,16552
을지로4가,동대문역사문화공원,2,0,0,0,0,0,0
동대문역사문화공원,신당,2,-1884,-19997,4070,-1638,-7666,1507
신당,상왕십리,2,21171,17207,-7064,-19777,-15241,-8206
상왕십리,왕십리(성동구청),2,20968,20800,-7606,-34830,-25918,24
왕십리(성동구청),한양대,2,-4502,-17530,16004,13226,4696,2822
한양대,뚝섬,2,-16795,-93654,26799,72981,31247,20263
뚝섬,성수,2,-48621,-202815,57411,158170,60300,37952
성수,건대입구,2,16933,12115,-1884,-36647,-20296,22434
건대입구,구의(광진구청),2,42876,57533,-17833,-44266,-39462,-23031
구의(광진구청),강변(동서울터미널),2,43476,46786,-19979,-46375,-28916,-12132
강변(동서울터미널),잠실나루,2,10693,3457,7345,-9427,-12980,-5078
잠실나루,잠실(송파구청),2,19724,-47146,22942,7247,1774,60203
잠실(송파구청),잠실새내,2,29637,29708,-14112,-31880,-20597,-2296
잠실새내,종합운동장,2,6593,698,-1279,-8713,-10105,-3406
종합운동장,삼성(무역센터),2,-94061,-236011,115053,190579,94191,78615
삼성(무역센터),선릉,2,-112320,-307558,140357,255312,110452,66080
선릉,역삼,2,-101146,-253291,127618,200397,96282,50742
역삼,강남,2,-97812,-219638,118301,176507,109495,103817
강남,교대(법원.검찰청),2,-40831,-137999,69650,120853,42075,37413
교대(법원.검찰청),서초,2,-29041,-84032,43050,67882,22432,13803
서초,방배,2,-5109,-34152,10179,22053,518,1501
방배,사당,2,62237,72690,-33720,-65110,-52383,-12999
사당,낙성대,2,0,0,0,0,0,0
낙성대,서울대입구(관악구청),2,79055,93897,-25414,-78504,-74533,-32080
서울대입구(관악구청),봉천,2,57492,77524,-22072,-50675,-46564,-25339
봉천,신림,2,142549,210669,-55396,-153094,-136865,-74207
신림,신대방,2,59822,83223,-26561,-53004,-50149,-33064
신대방,구로디지털단지,2,37721,-63878,16874,48754,-17007,-15673
구로디지털단지,대림(구로구청),2,41966,32670,-18275,-20920,-23710,-17948
대림(구로구청),신도림,2,77577,12920,-9117,-30468,-39925,-8423
신도림,문래,2,3187,-67667,21246,43922,-459,4196
문래,영등포구청,2,451,-77045,23304,54390,3798,4290
영등포구청,당산,2,41577,-3095,-12034,-30082,-38040,-18540
당산,합정,2,5015,-49385,10585,28757,20099,35571
합정,홍대입구,2,21027,-31646,22358,25245,31277,79570
홍대입구,신촌(지하),2,-3292,-26950,22325,-717,1364,25919
신촌(지하),이대,2,10322,800,6507,-6062,-8365,-1015
이대,아현,2,13295,13371,-3885,-13435,-11726,-6705
아현,충정로(경기대입구),2,-6153,-50023,13845,37496,376,256
충정로(경기대입구),시청,2,-99091,-290806,105327,233685,74476,52783
성수,용답,2,4838,7660,-2082,-6231,-4283,-2634
용답,신답,2,4508,6873,-2387,-7275,-5334,-2458
신답,용두(동대문구청),2,1953,1218,-29,-1639,-2769,-1213
용두(동대문구청),신설동,2,-11463,-46786,26660,36599,5828,3186
신도림,도림천,2,-433,-2378,416,868,-344,-568
도림천,양천구청,2,21158,15376,-7996,-18680,-18968,-9413
양천구청,신정네거리,2,34850,25361,-13049,-31780,-26095,-12071
신정네거리,까치산,2,94223,111795,-34072,-85450,-71530,-40219
대화,주엽,3,16077,7813,-3137,-9086,-15759,-6575
주엽,정발산,3,1618,-9696,4570,6004,150,7092
정발산,마두,3,6585,-6764,1301,763,-8182,-3203
마두,백석,3,8092,-4562,2434,702,-10348,-3155
백석,대곡,3,4157,2305,955,-142,-1339,-593
